; CSV, generated by libsigrok4DSL 0.2.0 on Wed Jan 25 11:07:32 2017
; Channels (13/16)
; Sample rate: 1 MHz
; Sample count: 64 M Samples
Time(s), PB0: SOUTH, PB1: SOUTH, PB2: SOUTH, PB3: EAST, PB4: EAST, PB5: EAST, PF1: DONT WALK, PF3: WALK, PE0: W_SENSOR, PE1: S_SENSOR, PE2: P_SENSOR, 11, 12
0,0,0,1,1,0,0,1,0,0,0,0,0,0
0.972182,0,0,1,1,0,0,1,0,0,0,1,0,0
1.739186,0,0,1,0,1,0,1,0,0,0,1,0,0
2.239375,0,0,1,0,0,1,0,1,0,0,1,0,0
2.966925,0,0,1,0,0,1,0,1,0,0,0,0,0
3.097407,0,0,1,0,0,1,0,1,1,0,0,0,0
3.839979,0,0,1,0,0,1,1,0,1,0,0,0,0
4.340168,0,0,1,0,0,1,0,0,1,0,0,0,0
4.840357,0,0,1,0,0,1,1,0,1,0,0,0,0
5.340546,0,0,1,0,0,1,0,0,1,0,0,0,0
5.840735,0,0,1,1,0,0,1,0,1,0,0,0,0
6.492554,0,0,1,1,0,0,1,0,0,0,0,0,0
6.760619,0,0,1,1,0,0,1,0,0,0,1,0,0
7.441338,0,0,1,0,1,0,1,0,0,0,1,0,0
7.941527,0,0,1,0,0,1,1,0,0,0,1,0,0
7.941528,0,0,1,0,0,1,0,1,0,0,1,0,0
8.71011,0,0,1,0,0,1,0,1,0,0,0,0,0
8.862063,0,0,1,0,0,1,0,1,0,1,0,0,0
9.542131,0,0,1,0,0,1,1,0,0,1,0,0,0
10.04232,0,0,1,0,0,1,0,0,0,1,0,0,0
10.542509,0,0,1,0,0,1,1,0,0,1,0,0,0
11.042698,0,0,1,0,0,1,0,0,0,1,0,0,0
11.542887,1,0,0,0,0,1,1,0,0,1,0,0,0
12.173074,1,0,0,0,0,1,1,0,0,0,0,0,0
13.197939,1,0,0,0,0,1,1,0,1,0,0,0,0
13.206864,1,0,0,0,0,1,1,0,1,1,0,0,0
13.943793,0,1,0,0,0,1,1,0,1,1,0,0,0
